,OA Train,AA Train,OA Val,AA Val,OA Test,AA Test
Roads,0.9375066834144961,0.9030338102671741,0.916661802846158,0.797593256871323,0.8809884187235317,0.7671283100182086
Buildings,0.9082022864992728,0.9021032607428872,0.8945316198629354,0.7783999359377552,0.8420143371676921,0.7036677501974548
Grass,0.8217132625561463,0.8285919561375247,0.7988397419256802,0.6778627657463429,0.8146303512444545,0.6960645402546839
Bare Soil,0.8199644333542949,0.8293842023939054,0.8055789178581441,0.7210734482224654,0.8083582828990223,0.7107648674649857
Water,0.9200175807737184,0.8971954481921456,0.8585613617929643,0.7176185835377976,0.8400201709651971,0.6902607037195482
Railways,0.8711294270276279,0.7689350191653859,0.8278916540292552,0.7094575403524986,0.8218785154551238,0.7168589708292101
Swimming Pools,0.8604116460432437,0.8400140734832072,0.8056731894476041,0.7014591886373264,0.8237911123949646,0.7197277655180506
Trees,0.9343122786451465,0.9012040663941736,0.887852956561085,0.7239607123709892,0.8874276433942255,0.7228244408621403
