,MSR,Margin,Entropy,Dropout,GMM,OC SVM,DF
Roads,0.17358357065055888,0.16836254078562796,0.18466819210699487,0.17114402534038922,0.2188295375566024,0.13939621012711473,0.2834590240151061
Buildings,0.2040047696024308,0.20672994082164944,0.20431533517082887,0.2069532432617276,0.16525614745337475,0.2264497948219701,0.1863535464007269
Grass,0.10289020921245824,0.09919723557153028,0.10678899428694873,0.10658205713569373,0.1365377918272806,0.07734535586266046,0.1403357416425713
Bare Soil,0.023231286406424103,0.02762829001066061,0.01934231026845146,0.017793628886540888,0.02608004866737189,0.02339086403574632,0.02125095409852034
Water,0.061652951832944274,0.06592040650111725,0.0592351655787062,0.05917984939250062,0.06500350016387155,0.14689019709621692,0.08195470214634426
Railways,0.0036326299344644312,0.004004457968541322,0.003328491728413639,0.0033867966007302282,0.0039056551670346414,0.007367265064675638,0.002757987079834196
Swimming Pools,0.0011509021735618306,0.00118929647379221,0.0011163206562251069,0.0011742413960638607,0.7819485635779311,0.5308487802904553,0.6057187190430076
Trees,0.23502046828330678,0.22575499541916608,0.2410796451346475,0.24170706985680135,0.140608080743958,0.2704991265307056,0.13277505314177293
