,MSR,Margin,Entropy,Dropout,GMM,OC SVM,DF
Roads,0.5971105331847228,0.5892706154571855,0.6122112879566356,0.5865848894693713,0.6597111044414268,0.4681952563326684,0.6971190178561135
Buildings,0.6538453705528763,0.6570347443136749,0.6453453564190788,0.6465716151553731,0.5831570530923249,0.6084160028225609,0.632373178020213
Trees,0.7386663731433826,0.7359595564641239,0.7445897786037952,0.7463374971301822,0.5652205993087104,0.6345210313936672,0.5783103475164418
Grass,0.38013757260149306,0.3739856412606234,0.38771058012143866,0.38988910593939263,0.4726843515323996,0.7837463680087112,0.5066160895027783
Bare Soil,0.6770221805773858,0.7013142324169332,0.6267819567446843,0.5950133308071638,0.651135946646556,0.1756206662853319,0.6214162082419337
Water,0.594424395509712,0.6027298276531049,0.5830181662716822,0.5793259294526173,0.5922325105291095,0.4964298209019726,0.6619064155981826
Railways,0.5697659940387806,0.5943910833533126,0.5303724478230097,0.5415025115416305,0.5502799775987638,0.6721259532589103,0.38250643275157337
Swimming Pools,0.2631928401681088,0.2802759958496589,0.2312821724732827,0.2780585565943096,0.9900475549727455,0.9700851185443372,0.9891373730840528
