,MSR,Margin,Entropy,Dropout,GMM,OC SVM,DF
Buildings,0.14047001561410288,0.1336869658189431,0.1599329997314579,0.1078474180128788,0.13493303750079472,0.1120595396529469,0.20558996340984872
Trees,0.12093908118086755,0.11967176688186384,0.1238268006723531,0.13184490326171075,0.09644115856928336,0.1576027077914314,0.18481846355456893
Grass,0.09574192263018713,0.0946367685148375,0.10017317974486953,0.09329626174090984,0.12098859023843166,0.1061512681048838,0.16496713881486794
Bare Soil,0.009484309120266788,0.009439011250673512,0.009507485115485964,0.011829131047000908,0.010582203509199998,0.031070346296233214,0.012038659940388495
Water,0.05704720801325916,0.0582702057554635,0.05544217445587756,0.2966295183869517,0.03329406963073595,0.03774925365216422,0.09865733608575587
Railways,0.0034580261987354663,0.003492373156188433,0.003414250029313392,0.012334661883350187,0.0036301462790752476,0.006077715848902613,0.005568455792085082
Roads,0.13384200151489886,0.1297534991468958,0.1442027553363875,0.1290686897023628,0.1368907483250498,0.17794351537212302,0.1357458075628219
Swimming Pools,0.001871664744157472,0.0019259702877209614,0.0017809855724209846,0.001336498407048292,0.0012809289311581102,0.44780590964688355,0.24148405157482378
