,OA Train,AA Train,OA Val,AA Val,OA Test,AA Test
Bare Soil,0.7199223015358197,0.7148529497348061,0.7378340221978892,0.6544615244483417,0.7183125917838077,0.6439808539302844
Water,0.6941566115904181,0.6142194756359248,0.6709152963464159,0.5238717228854269,0.6984129011818929,0.5540338788143133
Railways,0.7447486875350451,0.7901145205808091,0.7117282579983232,0.7356546040002475,0.7287434625656282,0.7914961913552366
Swimming Pools,0.7079705627770654,0.6603822319412075,0.6793631271202418,0.5610785217773201,0.6916536842286407,0.6444576761294282
Grass,0.7213201551299232,0.6754704085368172,0.7244046735253211,0.6390230320636155,0.7258475916936057,0.6372240025347632
Roads,0.8418922140888392,0.7659802569295312,0.8579367843376674,0.6246056709487245,0.7683916808177352,0.7260973565175922
Buildings,0.7987569967886755,0.7717547066142638,0.8176098134612281,0.800864705105114,0.7779903591375075,0.8088876795275679
Trees,0.738136014265841,0.63820339319896,0.7184940550066375,0.5203924789441358,0.7364396703096932,0.5429782801009416
