,MSR,Margin,Entropy,Dropout,GMM,OC SVM,DF
Buildings,0.4902816271453711,0.4846637006540733,0.4975895277402641,0.3874708644248744,0.4594729490509049,0.40693503136575787,0.5897102067513234
Trees,0.4888576437300977,0.48945147505840997,0.4906021599203805,0.4963973290040627,0.3934420992915118,0.6265818052130451,0.6039094822963498
Grass,0.3576264954876094,0.3574436477252143,0.3611256578844301,0.3748318398843272,0.4443983846488791,0.4520906109762465,0.6262209363814466
Bare Soil,0.3379077327667629,0.33487379511001875,0.3397813238774392,0.4788207623575815,0.4083333054152409,0.7901472936529229,0.4751087091813129
Water,0.5847175112389831,0.5871057450470766,0.5801516454701916,0.8782844001815122,0.34631619342529313,0.42580148642919735,0.7533245107254757
Railways,0.5036079198106729,0.5040563983993898,0.5005500835276719,0.7863172350163129,0.5280154370902519,0.7029493953752834,0.6508863046126745
Roads,0.4607240281431969,0.4575429953291539,0.4653393352400756,0.4700379117890437,0.4854314742836293,0.5993608153221363,0.4868712640836505
Swimming Pools,0.4373788985437189,0.44496525929526126,0.4299683271459609,0.28526540777524995,0.21569017581176464,0.9567095858031233,0.9192910037038552
